facility_type,district,realm,series,course,subject,match_basis,registered_period,total_minutes,tuition_fee_krw,total_fee_krw,hourly_tuition_krw,explicit_one_month,qc_hourly_extreme
academy,강남구,,예능(중),음악,베이직피아노1,subject,1개월 0일,1575,400000,400000,15238,True,False
academy,강남구,,예능(중),음악,베이직피아노2,subject,1개월 0일,1512,450000,450000,17857,True,False
academy,강남구,,예능(중),음악,입시피아노1,subject,1개월 0일,1890,550000,550000,17460,True,False
academy,강남구,,예능(중),음악,입시피아노2,subject,1개월 0일,1890,600000,600000,19048,True,False
academy,강남구,,예능(중),음악,재즈피아노1,subject,1개월 0일,1260,450000,450000,21429,True,False
academy,강남구,,예능(중),음악,재즈피아노2,subject,1개월 0일,1512,500000,500000,19841,True,False
academy,강남구,,예능(중),음악,케어피아노1,subject,1개월 0일,756,250000,250000,19841,True,False
academy,강남구,,예능(중),음악,케어피아노2,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,예능(중),음악,터치교정피아노1,subject,1개월 0일,1008,350000,350000,20833,True,False
academy,강남구,,예능(중),음악,터치교정피아노2,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,예능(중),음악,피아노,subject,1개월 0일,1512,450000,450000,17857,True,False
academy,강남구,,예능(중),음악,피아노(입시),subject,1개월 0일,1000,338310,338310,20299,True,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (12개월),subject,12개월 0일,2400,2300000,2300000,57500,False,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (1개월),subject,1개월 0일,200,250000,250000,75000,True,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (2개월),subject,2개월 0일,400,460000,460000,69000,False,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (3개월),subject,3개월 0일,600,650000,650000,65000,False,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (5개월),subject,5개월 0일,1000,1050000,1050000,63000,False,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린 (6개월),subject,6개월 0일,1200,1250000,1250000,62500,False,False
academy,강남구,,기예(중),실용음악(성악),피아노/보컬/바이올린(원데이),subject,0개월 1일,50,65000,65000,78000,False,False
academy,강남구,,예능(중),음악,고급 피아노A,subject,1개월 0일,756,210000,210000,16667,True,False
academy,강남구,,예능(중),음악,고급 피아노B,subject,1개월 0일,798,220000,220000,16541,True,False
academy,강남구,,예능(중),음악,입시 피아노A,subject,1개월 0일,651,230000,230000,21198,True,False
academy,강남구,,예능(중),음악,입시 피아노B,subject,1개월 0일,882,300000,300000,20408,True,False
academy,강남구,,예능(중),음악,중급 피아노A,subject,1개월 0일,693,180000,180000,15584,True,False
academy,강남구,,예능(중),음악,중급 피아노B,subject,1개월 0일,693,190000,190000,16450,True,False
academy,강남구,,예능(중),음악,중급 피아노C,subject,1개월 0일,756,200000,200000,15873,True,False
academy,강남구,,예능(중),음악,초급 피아노A,subject,1개월 0일,672,130000,130000,11607,True,False
academy,강남구,,예능(중),음악,초급 피아노B1,subject,1개월 0일,714,140000,140000,11765,True,False
academy,강남구,,예능(중),음악,초급 피아노B2,subject,1개월 0일,756,150000,150000,11905,True,False
academy,강남구,,예능(중),음악,초급 피아노C,subject,1개월 0일,819,160000,160000,11722,True,False
academy,강남구,,예능(중),음악,초급 피아노D,subject,1개월 0일,882,170000,170000,11565,True,False
academy,강남구,,예능(중),음악,피아노,subject,1개월 0일,1260,400000,400000,19048,True,False
academy,강남구,,예능(중),음악,피아노,subject,1개월 0일,1260,250000,250000,11905,True,False
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,420,280000,280000,40000,True,False
academy,강남구,,예능(중),음악,잉글리쉬피아노,subject,1개월 0일,378,50000,50000,7937,True,False
academy,강남구,,예능(중),음악,피아노 고급,subject,1개월 0일,756,80000,80000,6349,True,False
academy,강남구,,예능(중),음악,피아노 고급,subject,1개월 0일,1260,100000,100000,4762,True,True
academy,강남구,,예능(중),음악,피아노 중급,subject,1개월 0일,756,70000,70000,5556,True,False
academy,강남구,,예능(중),음악,피아노 중급,subject,1개월 0일,1260,90000,90000,4286,True,True
academy,강남구,,예능(중),음악,피아노 초급,subject,1개월 0일,756,50000,50000,3968,True,True
academy,강남구,,예능(중),음악,피아노 초급,subject,1개월 0일,1260,70000,70000,3333,True,True
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,200,220000,220000,66000,True,False
academy,강남구,,예능(중),음악,실용피아노1,subject,1개월 0일,294,100000,100000,20408,True,False
academy,강남구,,예능(중),음악,실용피아노1-1,subject,1개월 0일,336,110000,110000,19643,True,False
academy,강남구,,예능(중),음악,실용피아노2,subject,1개월 0일,504,150000,150000,17857,True,False
academy,강남구,,예능(중),음악,실용피아노2-1,subject,1개월 0일,504,160000,160000,19048,True,False
academy,강남구,,예능(중),음악,실용피아노2-2,subject,1개월 0일,504,170000,170000,20238,True,False
academy,강남구,,예능(중),음악,실용피아노3,subject,1개월 0일,756,180000,180000,14286,True,False
academy,강남구,,예능(중),음악,실용피아노3-1,subject,1개월 0일,756,190000,190000,15079,True,False
academy,강남구,,예능(중),음악,실용피아노3-2,subject,1개월 0일,756,200000,200000,15873,True,False
academy,강남구,,예능(중),음악,실용피아노5,subject,1개월 0일,1260,220000,220000,10476,True,False
academy,강남구,,예능(중),음악,실용피아노5-1,subject,1개월 0일,1260,230000,230000,10952,True,False
academy,강남구,,예능(중),음악,"피아노(고급,입시)",subject,1개월 0일,630,215000,215000,20476,True,False
academy,강남구,,예능(중),음악,피아노(중급),subject,1개월 0일,798,200000,200000,15038,True,False
academy,강남구,,예능(중),음악,피아노(초급),subject,1개월 0일,966,180000,180000,11180,True,False
academy,강남구,,예능(중),음악,피아노고급,subject,1개월 0일,1260,200000,200000,9524,True,False
academy,강남구,,예능(중),음악,피아노고급2,subject,1개월 0일,1260,210000,210000,10000,True,False
academy,강남구,,예능(중),음악,피아노중급,subject,1개월 0일,1134,170000,170000,8995,True,False
academy,강남구,,예능(중),음악,피아노중급,subject,1개월 0일,1260,190000,190000,9048,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,1134,160000,160000,8466,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,1260,180000,180000,8571,True,False
academy,강남구,,예능(중),음악,피아노,subject,1개월 0일,819,280000,280000,20513,True,False
academy,강남구,,예능(중),음악,피아노심화입시,subject,1개월 0일,600,200000,200000,20000,True,False
academy,강남구,,예능(중),음악,피아노1,subject,1개월 0일,546,190000,190000,20879,True,False
academy,강남구,,예능(중),음악,피아노2,subject,1개월 0일,588,200000,200000,20408,True,False
academy,강남구,,예능(중),음악,피아노3,subject,1개월 0일,588,210000,210000,21429,True,False
academy,강남구,,예능(중),음악,피아노4,subject,1개월 0일,672,240000,240000,21429,True,False
academy,강남구,,예능(중),음악,피아노5,subject,1개월 0일,714,250000,250000,21008,True,False
academy,강남구,,예능(중),음악,피아노6,subject,1개월 0일,756,270000,270000,21429,True,False
academy,강남구,,예능(중),음악,피아노7,subject,1개월 0일,1344,480000,480000,21429,True,False
academy,강남구,,예능(중),음악,피아노8,subject,1개월 0일,1512,540000,540000,21429,True,False
academy,강남구,,예능(중),음악,피아노9,subject,1개월 0일,1572,560000,560000,21374,True,False
academy,강남구,,예능(중),음악,피아노 고급A,subject,1개월 0일,588,200000,200000,20408,True,False
academy,강남구,,예능(중),음악,피아노 고급B,subject,1개월 0일,672,240000,240000,21429,True,False
academy,강남구,,예능(중),음악,피아노 고급C,subject,1개월 0일,882,300000,300000,20408,True,False
academy,강남구,,예능(중),음악,피아노 중급A,subject,1개월 0일,546,150000,150000,16484,True,False
academy,강남구,,예능(중),음악,피아노 중급B,subject,1개월 0일,588,160000,160000,16327,True,False
academy,강남구,,예능(중),음악,피아노 중급C,subject,1개월 0일,672,180000,180000,16071,True,False
academy,강남구,,예능(중),음악,피아노 초급A,subject,1개월 0일,567,100000,100000,10582,True,False
academy,강남구,,예능(중),음악,피아노 초급B,subject,1개월 0일,693,130000,130000,11255,True,False
academy,강남구,,예능(중),음악,피아노 초급C,subject,1개월 0일,756,140000,140000,11111,True,False
academy,강남구,,예능(중),음악,피아노A,subject,1개월 0일,756,140000,140000,11111,True,False
academy,강남구,,예능(중),음악,피아노B,subject,1개월 0일,546,150000,150000,16484,True,False
academy,강남구,,예능(중),음악,피아노C,subject,1개월 0일,462,160000,160000,20779,True,False
academy,강남구,,예능(중),음악,피아노고급,subject,1개월 0일,1260,170000,170000,8095,True,False
academy,강남구,,예능(중),음악,피아노고급(형제할인),subject,1개월 0일,1260,160000,160000,7619,True,False
academy,강남구,,예능(중),음악,피아노중급,subject,1개월 0일,1260,160000,160000,7619,True,False
academy,강남구,,예능(중),음악,피아노중급(형제할인),subject,1개월 0일,1260,150000,150000,7143,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,1260,140000,140000,6667,True,False
academy,강남구,,예능(중),음악,피아노초급(형제할인),subject,1개월 0일,1260,130000,130000,6190,True,False
academy,강남구,,예능(중),음악,피아노1(초급),subject,1개월 0일,840,160000,160000,11429,True,False
academy,강남구,,예능(중),음악,피아노2(초급),subject,1개월 0일,1008,200000,200000,11905,True,False
academy,강남구,,예능(중),음악,피아노3(중급),subject,1개월 0일,504,140000,140000,16667,True,False
academy,강남구,,예능(중),음악,피아노4(중급),subject,1개월 0일,588,160000,160000,16327,True,False
academy,강남구,,예능(중),음악,피아노5(중급),subject,1개월 0일,693,190000,190000,16450,True,False
academy,강남구,,예능(중),음악,피아노6(고급),subject,1개월 0일,504,180000,180000,21429,True,False
academy,강남구,,예능(중),음악,피아노7(고급),subject,1개월 0일,588,210000,210000,21429,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,140000,140000,11667,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,800,150000,150000,11250,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,160000,160000,13333,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,170000,170000,14167,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,180000,180000,15000,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,190000,190000,15833,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,720,200000,200000,16667,True,False
academy,강남구,,예능(중),음악,피아노 고급,subject,1개월 0일,635,170000,170000,16063,True,False
academy,강남구,,예능(중),음악,피아노 유아,subject,1개월 0일,629,120000,120000,11447,True,False
academy,강남구,,예능(중),음악,피아노 입시A,subject,1개월 0일,582,200000,200000,20619,True,False
academy,강남구,,예능(중),음악,피아노 입시B,subject,1개월 0일,1163,400000,400000,20636,True,False
academy,강남구,,예능(중),음악,피아노 입시C,subject,1개월 0일,2326,800000,800000,20636,True,False
academy,강남구,,예능(중),음악,피아노 중급,subject,1개월 0일,598,160000,160000,16054,True,False
academy,강남구,,예능(중),음악,피아노 초급,subject,1개월 0일,524,100000,100000,11450,True,False
academy,강남구,,예능(중),음악,피아노 초급,subject,1개월 0일,786,150000,150000,11450,True,False
academy,강남구,,예능(중),음악,피아노 초급A,subject,1개월 0일,681,130000,130000,11454,True,False
academy,강남구,,예능(중),음악,피아노고급A,subject,1개월 0일,588,200000,200000,20408,True,False
academy,강남구,,예능(중),음악,피아노고급B,subject,1개월 0일,504,180000,180000,21429,True,False
academy,강남구,,예능(중),음악,피아노입시,subject,1개월 0일,840,300000,300000,21429,True,False
academy,강남구,,예능(중),음악,피아노중급,subject,1개월 0일,630,170000,170000,16190,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,819,160000,160000,11722,True,False
academy,강남구,,예능(중),음악,피아노(입시)(1),subject,1개월 0일,504,180000,180000,21429,True,False
academy,강남구,,예능(중),음악,피아노(입시)(2),subject,1개월 0일,630,200000,200000,19048,True,False
academy,강남구,,예능(중),음악,피아노(입시)(3),subject,1개월 0일,840,210000,210000,15000,True,False
academy,강남구,,예능(중),음악,피아노(중급A)(1),subject,1개월 0일,672,160000,160000,14286,True,False
academy,강남구,,예능(중),음악,피아노(중급A)(2),subject,1개월 0일,756,180000,180000,14286,True,False
academy,강남구,,예능(중),음악,피아노(중급A)(3),subject,1개월 0일,840,200000,200000,14286,True,False
academy,강남구,,예능(중),음악,피아노(중급B)(1),subject,1개월 0일,672,170000,170000,15179,True,False
academy,강남구,,예능(중),음악,피아노(중급B)(2),subject,1개월 0일,756,190000,190000,15079,True,False
academy,강남구,,예능(중),음악,피아노(중급B)(3),subject,1개월 0일,840,210000,210000,15000,True,False
academy,강남구,,예능(중),음악,피아노(초급)(1),subject,1개월 0일,756,150000,150000,11905,True,False
academy,강남구,,예능(중),음악,피아노(초급)(2),subject,1개월 0일,882,170000,170000,11565,True,False
academy,강남구,,예능(중),음악,피아노(초급)(3),subject,1개월 0일,1050,190000,190000,10857,True,False
academy,강남구,,예능(중),음악,실용피아노1(입시),subject,1개월 0일,336,120000,120000,21429,True,False
academy,강남구,,예능(중),음악,실용피아노10(초급),subject,1개월 0일,840,165000,165000,11786,True,False
academy,강남구,,예능(중),음악,실용피아노11(중급),subject,1개월 0일,630,170000,170000,16190,True,False
academy,강남구,,예능(중),음악,실용피아노12(입시),subject,1개월 0일,504,175000,175000,20833,True,False
academy,강남구,,예능(중),음악,실용피아노13(초급),subject,1개월 0일,924,180000,180000,11688,True,False
academy,강남구,,예능(중),음악,실용피아노14(중급),subject,1개월 0일,672,185000,185000,16518,True,False
academy,강남구,,예능(중),음악,실용피아노2(초급),subject,1개월 0일,630,125000,125000,11905,True,False
academy,강남구,,예능(중),음악,실용피아노3(입시),subject,1개월 0일,378,130000,130000,20635,True,False
academy,강남구,,예능(중),음악,실용피아노4(초급),subject,1개월 0일,693,135000,135000,11688,True,False
academy,강남구,,예능(중),음악,실용피아노5(중급),subject,1개월 0일,504,140000,140000,16667,True,False
academy,강남구,,예능(중),음악,실용피아노6(중급),subject,1개월 0일,546,145000,145000,15934,True,False
academy,강남구,,예능(중),음악,실용피아노7(초급),subject,1개월 0일,756,150000,150000,11905,True,False
academy,강남구,,예능(중),음악,실용피아노8(초급),subject,1개월 0일,819,155000,155000,11355,True,False
academy,강남구,,예능(중),음악,실용피아노9(중급),subject,1개월 0일,588,160000,160000,16327,True,False
academy,강남구,,예능(중),음악,재즈피아노,subject,1개월 0일,746,200000,200000,16086,True,False
academy,강남구,,예능(중),음악,클래식피아노,subject,1개월 0일,785,150000,150000,11465,True,False
academy,강남구,,예능(중),음악,피아노(입시),subject,1개월 0일,1260,380000,380000,18095,True,False
academy,강남구,,예능(중),음악,피아노(입시),subject,1개월 0일,945,320000,320000,20317,True,False
academy,강남구,,예능(중),음악,피아노(중급),subject,1개월 0일,819,220000,220000,16117,True,False
academy,강남구,,예능(중),음악,피아노(중급2),subject,1개월 0일,882,240000,240000,16327,True,False
academy,강남구,,예능(중),음악,피아노(초급1),subject,1개월 0일,1008,200000,200000,11905,True,False
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,210,200000,200000,57143,True,False
academy,강남구,,예능(중),음악,입시피아노,subject,1개월 0일,252,75000,75000,17857,True,False
academy,강남구,,기예(중),기예(중),베이직피아노1,subject,1개월 0일,1008,350000,350000,20833,True,False
academy,강남구,,기예(중),기예(중),베이직피아노2,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,기예(중),기예(중),실용피아노1,subject,1개월 0일,1890,550000,550000,17460,True,False
academy,강남구,,기예(중),기예(중),실용피아노2,subject,1개월 0일,1890,600000,600000,19048,True,False
academy,강남구,,기예(중),기예(중),재즈피아노1,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,기예(중),기예(중),재즈피아노2,subject,1개월 0일,1260,450000,450000,21429,True,False
academy,강남구,,기예(중),기예(중),케어피아노1,subject,1개월 0일,756,250000,250000,19841,True,False
academy,강남구,,기예(중),기예(중),케어피아노2,subject,1개월 0일,1008,300000,300000,17857,True,False
academy,강남구,,기예(중),기예(중),클래식피아노1,subject,1개월 0일,1008,350000,350000,20833,True,False
academy,강남구,,기예(중),기예(중),클래식피아노2,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,기예(중),기예(중),터치교정피아노1,subject,1개월 0일,1008,350000,350000,20833,True,False
academy,강남구,,기예(중),기예(중),터치교정피아노2,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,예능(중),음악,실용피아노1,subject,1개월 0일,294,100000,100000,20408,True,False
academy,강남구,,예능(중),음악,실용피아노1-1,subject,1개월 0일,336,110000,110000,19643,True,False
academy,강남구,,예능(중),음악,실용피아노2,subject,1개월 0일,504,150000,150000,17857,True,False
academy,강남구,,예능(중),음악,실용피아노2-1,subject,1개월 0일,504,160000,160000,19048,True,False
academy,강남구,,예능(중),음악,실용피아노2-2,subject,1개월 0일,504,170000,170000,20238,True,False
academy,강남구,,예능(중),음악,실용피아노3,subject,1개월 0일,756,180000,180000,14286,True,False
academy,강남구,,예능(중),음악,실용피아노3-1,subject,1개월 0일,756,190000,190000,15079,True,False
academy,강남구,,예능(중),음악,실용피아노3-2,subject,1개월 0일,756,200000,200000,15873,True,False
academy,강남구,,예능(중),음악,실용피아노5,subject,1개월 0일,1260,220000,220000,10476,True,False
academy,강남구,,예능(중),음악,실용피아노5-1,subject,1개월 0일,1260,230000,230000,10952,True,False
academy,강남구,,예능(중),음악,실용피아노5-2,subject,1개월 0일,1260,240000,240000,11429,True,False
academy,강남구,,예능(중),음악,피아노입시,subject,1개월 0일,600,205000,205000,20500,True,False
academy,강남구,,예능(중),음악,피아노중급,subject,1개월 0일,720,192000,192000,16000,True,False
academy,강남구,,예능(중),음악,피아노초급,subject,1개월 0일,1200,225000,225000,11250,True,False
academy,강남구,,예능(중),음악,특강(중급),music_named_facility,1개월 0일,240,60000,60000,15000,True,False
academy,강남구,,예능(중),음악,플룻1(입시),music_named_facility,1개월 0일,480,160000,160000,20000,True,False
academy,강남구,,예능(중),음악,플룻2(입시),music_named_facility,1개월 0일,520,180000,180000,20769,True,False
academy,강남구,,예능(중),음악,플룻3(입시),music_named_facility,1개월 0일,560,200000,200000,21429,True,False
academy,강남구,,예능(중),음악,피아노1(입시),subject,1개월 0일,60,20000,20000,20000,True,False
academy,강남구,,예능(중),음악,피아노10(입시),subject,1개월 0일,780,200000,200000,15385,True,False
academy,강남구,,예능(중),음악,피아노11(입시),subject,1개월 0일,840,210000,210000,15000,True,False
academy,강남구,,예능(중),음악,피아노12(입시),subject,1개월 0일,900,220000,220000,14667,True,False
academy,강남구,,예능(중),음악,피아노13(입시),subject,1개월 0일,1200,250000,250000,12500,True,False
academy,강남구,,예능(중),음악,피아노14(입시),subject,1개월 0일,1600,500000,500000,18750,True,False
academy,강남구,,예능(중),음악,피아노15(입시),subject,1개월 0일,2400,700000,700000,17500,True,False
academy,강남구,,예능(중),음악,피아노2(입시),subject,1개월 0일,340,120000,120000,21176,True,False
academy,강남구,,예능(중),음악,피아노3(입시),subject,1개월 0일,450,130000,130000,17333,True,False
academy,강남구,,예능(중),음악,피아노4(중급),subject,1개월 0일,540,140000,140000,15556,True,False
academy,강남구,,예능(중),음악,피아노5(중급),subject,1개월 0일,560,150000,150000,16071,True,False
academy,강남구,,예능(중),음악,피아노6(입시),subject,1개월 0일,480,160000,160000,20000,True,False
academy,강남구,,예능(중),음악,피아노7(입시),subject,1개월 0일,520,170000,170000,19615,True,False
academy,강남구,,예능(중),음악,피아노8(입시),subject,1개월 0일,560,180000,180000,19286,True,False
academy,강남구,,예능(중),음악,피아노9(입시),subject,1개월 0일,540,190000,190000,21111,True,False
academy,강남구,,예능(중),음악,피아노고급(고등),subject,1개월 0일,1000,240000,240000,14400,True,False
academy,강남구,,예능(중),음악,피아노고급(중등),subject,1개월 0일,1008,200000,200000,11905,True,False
academy,강남구,,예능(중),음악,피아노고급(초등),subject,1개월 0일,1008,190000,190000,11310,True,False
academy,강남구,,예능(중),음악,피아노기초(고등),subject,1개월 0일,1000,150000,150000,9000,True,False
academy,강남구,,예능(중),음악,피아노기초(유치),subject,1개월 0일,1008,180000,180000,10714,True,False
academy,강남구,,예능(중),음악,피아노기초(중등),subject,1개월 0일,1000,160000,160000,9600,True,False
academy,강남구,,예능(중),음악,피아노기초(초등),subject,1개월 0일,1008,170000,170000,10119,True,False
academy,강남구,,예능(중),음악,피아노중급(고등),subject,1개월 0일,1000,170000,170000,10200,True,False
academy,강남구,,예능(중),음악,피아노중급(중등),subject,1개월 0일,1008,180000,180000,10714,True,False
academy,강남구,,예능(중),음악,피아노중급(초등),subject,1개월 0일,1008,190000,190000,11310,True,False
academy,강남구,,예능(중),음악,피아노고급(입시)A,subject,1개월 0일,588,210000,210000,21429,True,False
academy,강남구,,예능(중),음악,피아노고급(입시)B,subject,1개월 0일,756,230000,230000,18254,True,False
academy,강남구,,예능(중),음악,피아노기초A,subject,1개월 0일,924,170000,170000,11039,True,False
academy,강남구,,예능(중),음악,피아노기초B,subject,1개월 0일,1134,190000,190000,10053,True,False
academy,강남구,,예능(중),음악,피아노중급A,subject,1개월 0일,756,190000,190000,15079,True,False
academy,강남구,,예능(중),음악,피아노중급B,subject,1개월 0일,756,210000,210000,16667,True,False
academy,강남구,,기예(중),실용음악(성악),피아노 심화,subject,1개월 0일,240,400000,400000,100000,True,True
academy,강남구,,기예(중),실용음악(성악),피아노 전문,subject,1개월 0일,240,320000,320000,80000,True,False
academy,강남구,,기예(중),실용음악(성악),피아노 취미,subject,1개월 0일,240,240000,240000,60000,True,False
academy,강남구,,예능(중),음악,체르니(중급),music_named_facility,1개월 0일,630,160000,160000,15238,True,False
academy,강남구,,예능(중),음악,체르니(초급),music_named_facility,1개월 0일,1050,170000,170000,9714,True,False
academy,강남구,,예능(중),음악,피아노(중급),subject,1개월 0일,630,150000,150000,14286,True,False
academy,강남구,,예능(중),음악,피아노(초급),subject,1개월 0일,1050,160000,160000,9143,True,False
academy,강남구,,예능(중),음악,고급 피아노,subject,1개월 0일,903,250000,250000,16611,True,False
academy,강남구,,예능(중),음악,입시A피아노,subject,1개월 0일,840,300000,300000,21429,True,False
academy,강남구,,예능(중),음악,입시B피아노,subject,1개월 0일,1134,400000,400000,21164,True,False
academy,강남구,,예능(중),음악,중급 피아노,subject,1개월 0일,840,230000,230000,16429,True,False
academy,강남구,,예능(중),음악,초급 피아노,subject,1개월 0일,1008,200000,200000,11905,True,False
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,210,250000,250000,71429,True,False
academy,강남구,,예능(중),음악,고급피아노,subject,1개월 0일,700,240000,240000,20571,True,False
academy,강남구,,예능(중),음악,입시피아노,subject,1개월 0일,872,300000,300000,20642,True,False
academy,강남구,,예능(중),음악,중급피아노,subject,1개월 0일,750,200000,200000,16000,True,False
academy,강남구,,예능(중),음악,초급피아노,subject,1개월 0일,840,160000,160000,11429,True,False
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,552,190000,190000,20652,True,False
academy,강남구,,예능(중),음악,피아노A(초급),subject,1개월 0일,630,120000,120000,11429,True,False
academy,강남구,,예능(중),음악,피아노B(중급),subject,1개월 0일,882,180000,180000,12245,True,False
academy,강남구,,예능(중),음악,피아노C(초급),subject,1개월 0일,1029,190000,190000,11079,True,False
academy,강남구,,예능(중),음악,피아노D(중급),subject,1개월 0일,1029,200000,200000,11662,True,False
academy,강남구,,예능(중),음악,피아노E(초급),subject,1개월 0일,1176,220000,220000,11224,True,False
academy,강남구,,예능(중),음악,피아노F(중급),subject,1개월 0일,1176,240000,240000,12245,True,False
academy,강남구,,예능(중),음악,피아노G(중급),subject,1개월 0일,2352,480000,480000,12245,True,False
academy,강남구,,기예(중),실용음악(성악),앙상블(즉흥),music_named_facility,1개월 0일,126,200000,200000,95238,True,False
academy,강남구,,기예(중),실용음악(성악),재즈피아노,subject,1개월 0일,252,450000,450000,107143,True,True
academy,강남구,,예능(중),음악,피아노A2,subject,1개월 0일,440,120000,120000,16364,True,False
academy,강남구,,예능(중),음악,피아노A3,subject,1개월 0일,600,140000,140000,14000,True,False
academy,강남구,,예능(중),음악,피아노A4,subject,1개월 0일,800,170000,170000,12750,True,False
academy,강남구,,예능(중),음악,피아노B2,subject,1개월 0일,480,130000,130000,16250,True,False
academy,강남구,,예능(중),음악,피아노B3,subject,1개월 0일,660,150000,150000,13636,True,False
academy,강남구,,예능(중),음악,피아노B4,subject,1개월 0일,880,180000,180000,12273,True,False
academy,강남구,,예능(중),음악,피아노C2,subject,1개월 0일,520,140000,140000,16154,True,False
academy,강남구,,예능(중),음악,피아노C3,subject,1개월 0일,720,160000,160000,13333,True,False
academy,강남구,,예능(중),음악,피아노C4,subject,1개월 0일,960,190000,190000,11875,True,False
academy,강남구,,예능(중),음악,피아노D2,subject,1개월 0일,480,150000,150000,18750,True,False
academy,강남구,,예능(중),음악,피아노D3,subject,1개월 0일,720,170000,170000,14167,True,False
academy,강남구,,예능(중),음악,피아노D4,subject,1개월 0일,960,200000,200000,12500,True,False
academy,강남구,,예능(중),음악,피아노 고급 주1회,subject,1개월 0일,378,100000,100000,15873,True,False
academy,강남구,,예능(중),음악,피아노 고급 주2회,subject,1개월 0일,546,150000,150000,16484,True,False
academy,강남구,,예능(중),음악,피아노 고급 주3회,subject,1개월 0일,630,170000,170000,16190,True,False
academy,강남구,,예능(중),음악,피아노 고급 주4회,subject,1개월 0일,840,180000,180000,12857,True,False
academy,강남구,,예능(중),음악,피아노 고급 주5회,subject,1개월 0일,1050,190000,190000,10857,True,False
academy,강남구,,예능(중),음악,피아노 입시 주2회,subject,1개월 0일,1680,600000,600000,21429,True,False
academy,강남구,,예능(중),음악,피아노 중급 주1회,subject,1개월 0일,378,100000,100000,15873,True,False
academy,강남구,,예능(중),음악,피아노 중급 주2회,subject,1개월 0일,504,140000,140000,16667,True,False
academy,강남구,,예능(중),음악,피아노 중급 주3회,subject,1개월 0일,630,160000,160000,15238,True,False
academy,강남구,,예능(중),음악,피아노 중급 주4회,subject,1개월 0일,840,170000,170000,12143,True,False
academy,강남구,,예능(중),음악,피아노 중급 주5회,subject,1개월 0일,1050,180000,180000,10286,True,False
academy,강남구,,예능(중),음악,피아노 초급 주1회,subject,1개월 0일,525,100000,100000,11429,True,False
academy,강남구,,예능(중),음악,피아노 초급 주2회,subject,1개월 0일,756,140000,140000,11111,True,False
academy,강남구,,예능(중),음악,피아노 초급 주3회,subject,1개월 0일,882,160000,160000,10884,True,False
academy,강남구,,예능(중),음악,피아노 초급 주4회,subject,1개월 0일,1008,170000,170000,10119,True,False
academy,강남구,,예능(중),음악,피아노 초급 주5회,subject,1개월 0일,1050,180000,180000,10286,True,False
academy,강남구,,기예(중),실용음악(성악),실용 피아노레슨,subject,1개월 0일,252,420000,420000,100000,True,True
academy,강남구,,기예(중),실용음악(성악),피아노,subject,1개월 0일,252,350000,350000,83333,True,False
academy,강남구,,예능(중),음악,피아노고급A,subject,1개월 0일,756,200000,200000,15873,True,False
academy,강남구,,예능(중),음악,피아노고급B,subject,1개월 0일,672,170000,170000,15179,True,False
academy,강남구,,예능(중),음악,피아노고급C,subject,1개월 0일,630,180000,180000,17143,True,False
academy,강남구,,예능(중),음악,피아노입시,subject,1개월 0일,882,300000,300000,20408,True,False
academy,강남구,,예능(중),음악,피아노중급A,subject,1개월 0일,630,170000,170000,16190,True,False
academy,강남구,,예능(중),음악,피아노중급B,subject,1개월 0일,672,180000,180000,16071,True,False
academy,강남구,,예능(중),음악,피아노초급A,subject,1개월 0일,756,150000,150000,11905,True,False
